,Median Age,Population,White,Black,Asian,Hispanic,Poverty Count,Household Income,Per Capita Income,Zip Code,Review Count,Price,Average Rating
291,42.2,29502,7303,257,15014,11171,3762,57380,25731,91803,16916,,4.120861906
292,43.5,18586,16590,257,332,3220,1563,81603,35439,91901,3046,,3.981122784
293,40.9,19429,13996,726,2192,9344,1642,90184,36578,91902,6574,,4.295177974
294,49.3,1539,1031,93,6,186,286,31051,16779,91905,942,,3.851910828
295,38.8,3565,3076,124,34,1020,693,49000,21464,91906,599,,3.883138564
296,36.7,76027,55689,3000,7699,45531,12025,55492,24986,91910,8976,,4.44769385
297,33.4,84241,63148,2693,6714,60952,12752,51383,19750,91911,7910,,4.431921618
298,32.8,47494,24794,3239,14013,20887,4166,83693,28004,91913,4865,,4.261562179
299,36.5,16865,9907,902,3844,7736,698,124578,38646,91914,3646,,3.76727921
300,32.2,30679,17956,2185,6643,15031,1937,104170,30396,91915,3718,,3.853415815
301,50.1,1542,1431,15,0,222,191,84076,36723,91916,2085,,3.837170264
302,43.6,937,777,47,4,653,360,76065,16582,91917,1418,,4.513046544
303,21,474,469,0,0,77,201,24083,10659,91931,1874,,3.867129136
304,32.3,26801,19529,846,2380,13566,5087,48010,21530,91932,3846,,4.229849194
305,68.9,274,218,0,56,111,58,25354,17152,91934,303,,4.422442244
306,47.4,8347,7165,149,210,1899,617,100976,41093,91935,3278,,4.473154362
307,39.5,33077,24092,2440,1208,7262,3741,71197,36187,91941,10789,,4.396514969
308,37.4,39795,29532,2458,2325,10125,4622,55753,31258,91942,8345,,4.394787298
309,37.1,26673,17411,3329,1756,11860,3557,59025,23147,91945,7857,,4.379661448
310,32.6,62078,37224,2947,11492,40580,13968,41867,17857,91950,6083,,4.377691928
311,44,2190,1981,17,44,155,195,100302,36485,91962,3485,,4.179913917
312,41.8,988,950,38,0,576,207,42563,19482,91963,272,,4.139705882
313,34.2,62065,40555,7420,5336,28112,9083,58937,23456,91977,6525,,4.454022989
314,34.2,9804,7258,1103,607,3081,1170,61508,26131,91978,5169,,4.288353647
315,48.8,4905,3798,130,298,1157,330,71128,40403,92003,1469,,4.103812117
316,56.3,2520,2157,121,87,585,304,33487,21115,92004,3368,,4.260243468
317,39.9,11929,10877,41,443,897,725,98264,52886,92007,8538,,4.14470602
318,42.3,26968,23739,239,1258,4780,1938,77802,44858,92008,12464,,4.328225289
319,43.1,44330,36659,624,3773,4537,2618,112189,54571,92009,8086,,4.031535988
320,38.4,15551,13148,152,1297,2490,1479,97770,43400,92010,10057,,4.290146167
321,43.1,24899,20745,229,2177,3998,2577,105049,49086,92011,11668,,4.147583133
322,50.4,13665,11863,66,1126,952,681,120882,85734,92014,8151,,4.104281683
323,41.8,43200,34276,1364,1448,10497,5813,74400,32531,92019,2935,,4.472061329
324,34.9,58554,43016,3235,2293,14584,12937,50617,24334,92020,3356,,4.400327771
325,35.2,69552,52206,3640,1799,19769,14341,48569,22658,92021,2799,,4.438906752
